Longitude,Latitude,Presence
-46.6049317829695,-10.4889006296792,1
-46.595490947728,-10.5690498015505,1
-46.5947090529387,-10.5144047538907,1
-46.5697718467343,-10.482991348037,1
-46.6165306984193,-10.4451701626928,1
-46.9642426971157,-10.5710772414727,1
-46.9265800592955,-10.5720912338587,1
-46.2453669963314,-10.5568075221766,1
-46.5791877806157,-10.5602620647948,1
-46.5875979731848,-10.513933884934,1
-46.5595572007549,-10.5199305434136,1
-46.5693491370552,-10.5332660021164,1
-46.5926085386453,-10.5349422702601,1
-38.4427316101892,-3.7777525865995,1
-37.4768369642935,-10.7004761427855,1
-37.5096900380139,-10.6852797142538,1
-39.8045042049755,-18.2632982535765,1
-39.8787831655462,-18.2249770712828,1
-37.0869469677073,-5.57501640098999,1
-55.1169030562349,-14.9789376855164,1
-54.4744144366359,-14.4481548888076,1
-54.4422368061074,-15.3266751438963,1
-53.8269431093495,-17.3018174131617,1
-54.1373626511369,-17.2140127172644,1
-54.1818694491715,-17.1764304299663,1
-54.2228187208391,-17.2382725639832,1
-53.8925136058565,-17.2827658642971,1
-44.2006260133817,-3.22195579272671,1
-43.0109481763755,-8.33113180238676,1
-42.1306819416499,-8.2930066507865,1
-43.4002796135145,-8.84431911340481,1
-42.122865588822,-4.56711144829462,1
-38.1294926327041,-9.07672621539497,1
-38.136886831093,-9.07912099573694,1
-41.3789752064107,-13.0131675707508,1
-40.7010599868062,-12.4680902571191,1
-41.3034143595535,-12.2034933879236,1
-44.9502351382217,-12.1914796598512,1
-44.8132365950004,-12.2016192494837,1
-45.1247132081774,-12.0301965188544,1
-40.4339500242684,-11.2763613399422,1
-38.9030226981539,-4.90304153850659,1
-39.7922833897115,-4.22181078878655,1
-38.5736024367556,-5.42533265581613,1
-57.0768459898109,-25.2601384594014,1
-47.8817725780146,-15.9205169869386,1
-40.3504240128163,-19.2349848729538,1
-40.4224482147092,-19.2183354331417,1
-40.3907315514971,-19.2670440472222,1
-40.2981663751354,-19.3323381301183,1
-40.274479345892,-19.1496828440281,1
-40.1140182877257,-19.7884303697615,1
-40.1113602048664,-19.8055304834084,1
-39.8507550264633,-18.3660912444902,1
-39.8419213265026,-18.3642627168569,1
-39.8455524618211,-18.360005067248,1
-39.8533088748114,-18.3827767486045,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-49.3653135248356,-15.7050457596171,1
-44.3003133111422,-2.59576346184121,1
-43.011884702805,-4.9730470148084,1
-42.8231464900514,-4.63145415961792,1
-44.609020698499,-5.22595228095621,1
-45.0343820642775,-4.68813750576802,1
-44.8787283143001,-4.95705491080026,1
-46.4050985722205,-5.08707730308685,1
-47.0797137911297,-6.98711812951689,1
-47.0966598616425,-7.04105159873265,1
-54.2261428637103,-12.9641251301748,1
-55.3151566848601,-13.9622186667666,1
-53.5126396544387,-12.4230453304118,1
-57.1905257265456,-15.6496587368921,1
-57.2146686176151,-15.6587594726889,1
-55.8880086535614,-15.6754913807716,1
-56.4119964267402,-14.0975817127156,1
-54.9941625975698,-12.4090446596305,1
-57.7437029313945,-15.9957286599547,1
-57.6297026274548,-15.6986837138668,1
-53.5259398263352,-13.6411291480358,1
-53.4478079285333,-18.2338078596396,1
-56.7065205416,-19.357260260657,1
-56.4214193327561,-18.6077472291734,1
-56.4437236537763,-19.9411953993486,1
-55.0619287995652,-20.3794901821238,1
-54.7386204596307,-20.300469310016,1
-55.3451604180463,-20.289585409596,1
-54.3387414035404,-20.8551467603741,1
-54.7072110109445,-20.7251305748966,1
-54.9544795608844,-20.6700672709796,1
-55.0982626875815,-20.5476434623042,1
-55.8563697840433,-20.4459155324376,1
-55.5760652984398,-20.4073765927886,1
-55.506186444722,-20.4227034644775,1
-55.5298022127466,-20.6433528193861,1
-55.6364185040058,-20.2148157225031,1
-55.438433614498,-20.2040842125389,1
-55.7635224718869,-20.49683046758,1
-55.2728905863012,-20.5629152517119,1
-55.7428234383969,-20.6522015602857,1
-56.0204198485341,-20.2615992119663,1
-55.8608411405146,-20.0277754964572,1
-55.5186267984005,-20.7128949332213,1
-55.4741312115325,-20.3102282392058,1
-54.9180124005192,-20.7474399340482,1
-55.2737632868196,-21.284433091382,1
-56.7378039237004,-21.3872435394289,1
-55.9508988614631,-21.5320079525559,1
-52.8620177201666,-22.353639360687,1
-56.0734897125169,-20.8139369756477,1
-54.6913828247932,-21.2743293344941,1
